node,inflow,supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,constraint_ok
2122,0.0,0.0,0.0,0.0,0.0,0.0,True
2123,1e-12,0.0,0.0,1e-12,1e-12,1e-12,True
2124,5.0004445e-13,0.0,0.0,5e-13,5.0004445e-13,5e-13,True
2125,4e-12,0.0,0.0,4e-12,4e-12,4e-12,True
2126,50.186034,0.0,0.0,50.186034,50.186034,50.186034,True
2127,0.0,0.0,0.0,0.0,0.0,0.0,True
2128,332.04682,0.0,0.0,332.04683,332.04682,332.04683,True
2129,0.346376,0.0,0.0,0.346376000001,0.346376,0.346376000001,True
2130,0.0,0.0,0.0,0.0,0.0,0.0,True
2131,6.9432093,0.0,0.0,6.9432093,6.9432093,6.9432093,True
2132,0.0,0.0,0.0,0.0,0.0,0.0,True
2133,70.07698012,0.0,0.0,70.07697999999999,70.07698012,70.07697999999999,True
2134,138.75127,0.0,0.0,138.7512652,138.75127,138.7512652,True
2135,0.0,0.0,0.0,0.0,0.0,0.0,True
2136,5e-13,0.0,0.0,5e-13,5e-13,5e-13,True
2137,3.41872411,0.0,0.0,3.4187241000005,3.41872411,3.4187241000005,True
2138,4.9984903e-12,0.0,0.0,4.9984903e-12,4.9984903e-12,4.9984903e-12,True
2139,572.67261,0.0,0.0,572.67261,572.67261,572.67261,True
2140,29.467657,0.0,0.0,29.4676570000005,29.467657,29.4676570000005,True
2141,7.1584374,0.0,0.0,7.1584374,7.1584374,7.1584374,True
2142,0.0,0.0,0.0,0.0,0.0,0.0,True
2143,248.23613110000002,0.0,0.0,248.23614,248.23613110000002,248.23614,True
2144,4.0347819,0.0,0.0,4.0347819,4.0347819,4.0347819,True
2145,34.966651,0.0,0.0,34.96665083,34.966651,34.96665083,True
2146,835.298892,0.0,0.0,835.29889,835.298892,835.29889,True
2147,8.5815738,0.0,0.0,8.581573800000001,8.5815738,8.581573800000001,True
2148,76.76683799999999,0.0,0.0,76.7668380000005,76.76683799999999,76.7668380000005,True
2149,122.78318300000001,0.0,0.0,122.78318,122.78318300000001,122.78318,True
2150,0.0,0.0,0.0,0.0,0.0,0.0,True
2151,2.1167422,0.0,0.0,2.1167422,2.1167422,2.1167422,True
2152,0.0,0.0,0.0,0.0,0.0,0.0,True
2153,0.0,0.0,0.0,0.0,0.0,0.0,True
2154,0.0,0.0,0.0,0.0,0.0,0.0,True
2155,0.0,0.0,0.0,0.0,0.0,0.0,True
2156,196.04445,0.0,0.0,196.04445,196.04445,196.04445,True
