node,inflow,supply,max_supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,flow_balance_ok,supply_ok
44,0.042554617369167595,2.221601873946708e-09,0.0,0.0,0.0425546195930092,0.04255461959076947,0.0425546195930092,True,True
45,0.12737979215103887,2.232273763958926e-09,0.0,0.0,0.1273797943854718,0.12737979438331262,0.1273797943854718,True,True
46,0.12428911320904504,2.02923887403395e-09,0.0,0.0,0.1242891152403143,0.12428911523828391,0.1242891152403143,True,True
47,0.025817390870538637,2.209897181710964e-09,0.0,0.0,0.0258173930826471,0.02581739308043582,0.0258173930826471,True,True
48,0.04424154012842288,2.2322208061156753e-09,0.0,0.0,0.044241542362866204,0.04424154236064368,0.044241542362866204,True,True
49,0.0514032328866794,2.071302316680115e-09,0.0,0.0,0.05140323496005241,0.051403234957981714,0.05140323496005241,True,True
50,0.07332862441694828,2.1869485191677908e-09,0.0,0.0,0.0733286266060789,0.0733286266038968,0.0733286266060789,True,True
51,0.026785377827366414,2.226335537530262e-09,0.0,0.0,0.0267853800559287,0.02678538005370195,0.0267853800559287,True,True
52,0.06701415446761114,2.2323552567005187e-09,0.0,0.0,0.06701415670240961,0.0670141566999664,0.06701415670240961,True,True
53,0.01164581294629382,2.19847684887284e-09,0.0,0.0,0.0116458151469571,0.011645815144770668,0.0116458151469571,True,True
54,0.0243954569049409,2.194045368800621e-09,0.0,0.0,0.0243954591011913,0.02439545909898627,0.0243954591011913,True,True
55,0.009742264082547386,2.201046671973581e-09,0.0,0.0,0.00974226628580651,0.009742266283594057,0.00974226628580651,True,True
56,0.01904036968626468,1.0779497889015983e-09,0.0,0.0,0.0190403707652925,0.019040370764214467,0.0190403707652925,True,True
57,0.08705214900147916,2.2318969788955033e-09,0.0,0.0,0.0870521512356894,0.08705215123337613,0.0870521512356894,True,True
58,0.09810911766586987,2.038645224739707e-09,0.0,0.0,0.098109119706565,0.0981091197045151,0.098109119706565,True,True
59,0.0265023650467779,2.2058723835662314e-09,0.0,0.0,0.02650236725485511,0.026502367252650285,0.02650236725485511,True,True
60,0.04241631453741455,2.1980359201783943e-09,0.0,0.0,0.0424163167376633,0.04241631673545047,0.0424163167376633,True,True
61,0.1819428528903699,2.1431676507303544e-09,0.0,0.0,0.18194285503568186,0.18194285503353755,0.18194285503568186,True,True
62,0.1488953508590568,2.169153842536684e-09,0.0,0.0,0.14889535303035037,0.14889535302821064,0.14889535303035037,True,True
