node,generation,max_supply
319,2.219240147998015e-09,0.0
320,2.1637396953212383e-09,0.0
321,2.1642277215322113e-09,0.0
322,2.207886267543073e-09,0.0
323,2.1991792652092103e-09,0.0
324,2.2112614987203133e-09,0.0
325,2.2322783922278056e-09,0.0
326,2.2113737106095665e-09,0.0
327,2.1363793511358855e-09,0.0
328,2.1990388976354053e-09,0.0
329,2.179321395656139e-09,0.0
330,2.2101458031539534e-09,0.0
331,2.2027979269649606e-09,0.0
332,2.231660952602728e-09,0.0
333,2.2109753232137828e-09,0.0
334,2.2301055496956237e-09,0.0
335,2.2104381022886225e-09,0.0
336,2.2289407505616447e-09,0.0
337,2.209187350731302e-09,0.0
338,2.2273425767652864e-09,0.0
339,1.9830280754666843e-09,0.0
340,2.2322407063230947e-09,0.0
341,2.2077232375093776e-09,0.0
342,2.232153556959226e-09,0.0
343,2.197163747386731e-09,0.0
344,1.9316805995210673e-09,0.0
345,2.208904999372017e-09,0.0
346,2.2306777420819493e-09,0.0
347,2.119127864777862e-09,0.0
348,2.0231422551712974e-09,0.0
349,2.2089925320539008e-09,0.0
350,2.0154045990648637e-09,0.0
351,2.195124553597834e-09,0.0
352,2.1535352217085335e-09,0.0
353,2.2079054177631146e-09,0.0
354,2.224318965167024e-09,0.0
355,1.9798724630456822e-09,0.0
356,2.210971237353732e-09,0.0
357,2.124837055374756e-09,0.0
358,2.1539494945936206e-09,0.0
359,2.1998579536000406e-09,0.0
360,2.2321764500478588e-09,0.0
361,2.0403834186700887e-09,0.0
362,2.221377217666313e-09,0.0
363,2.211634337769181e-09,0.0
364,2.1482533220696404e-09,0.0
365,2.1413588942262473e-09,0.0
366,2.2093038901605628e-09,0.0
367,2.0455115608271072e-09,0.0
368,2.23117074439144e-09,0.0
369,2.2130054757323475e-09,0.0
370,1.920144015833511e-09,0.0
371,2.2075906349000413e-09,0.0
372,2.2121366866828925e-09,0.0
373,2.2150648320014923e-09,0.0
374,2.1709598126359176e-09,0.0
375,2.1975980537009046e-09,0.0
376,2.093131323678996e-09,0.0
377,1.982205708527852e-09,0.0
378,2.221644976562351e-09,0.0
379,2.2162966808358176e-09,0.0
380,2.2319372475499175e-09,0.0
381,2.1491763237069383e-09,0.0
382,2.23232966833798e-09,0.0
383,2.10566470369667e-09,0.0
384,2.2220456526739933e-09,0.0
385,2.232153021501606e-09,0.0
386,2.208887218435289e-09,0.0
387,2.222224961761001e-09,0.0
388,2.1558285196524593e-09,0.0
389,2.2186748111242665e-09,0.0
390,2.1973562304198768e-09,0.0
391,2.2108206253073896e-09,0.0
392,2.2215094807063e-09,0.0
393,2.207907967073235e-09,0.0
394,2.1721291766675214e-09,0.0
395,2.2320665780340628e-09,0.0
396,2.1284341007689805e-09,0.0
397,2.045135578617884e-09,0.0
398,2.1482428739163385e-09,0.0
399,1.984995876129591e-09,0.0
400,2.177056781458052e-09,0.0
401,2.170113159046979e-09,0.0
402,2.1603912267366973e-09,0.0
403,2.0219640960266975e-09,0.0
404,2.118056656127323e-09,0.0
405,2.100379872959652e-09,0.0
